,Σώμα_A,Σώμα_B,Σώμα_C,STATE
t,y,y,y,
0,"13,19","47,47","76,48",
"0,2","13,19","47,47","76,48",
"0,4","13,19","47,47","76,48",
"0,6","13,19","47,47","76,48",
"0,8","13,19","44,84","76,48",
1,"13,19","43,52","76,48",
"1,2","13,19","43,52","76,48",
"1,4","11,87","42,20","75,16",
"1,6","10,55","39,56","75,16",
"1,8","10,55","38,24","75,16",
2,"10,55","38,24","75,16",
"2,2","10,55","39,56","73,85",
"2,4","10,55","39,56","67,25",
"2,6","1,32","40,88","71,21",
"2,8","0,00","40,88","71,21",
3,"-2,64","40,88","71,21",
"3,2","-2,64","39,56","71,21",
"3,4","-2,64","39,56","71,21",
"3,6","-2,64","38,24","71,21",
"3,8","-5,27","39,56","71,21",
4,"-5,27","39,56","71,21",
"4,2","-5,27","35,60","71,21",
"4,4","-11,87","32,97","67,25",
"4,6","-11,87","32,97","67,25",
"4,8","-11,87","32,97","67,25",
5,"-11,87","30,33","65,93",
"5,2","-11,87","30,33","61,98",
"5,4","-11,87","34,29","64,62",
"5,6","-13,19","34,29","63,30",
"5,8","-13,19","32,97","61,98",
6,"-17,14","32,97","60,66",
"6,2","-17,14","30,33","60,66",
"6,4","-18,46","29,01","60,66",
"6,6","-18,46","29,01","60,66",
"6,8","-18,46","29,01","60,66",
7,"-21,10","29,01","60,66",
"7,2","-21,10","29,01","60,66",
"7,4","-21,10","27,69","55,38",
"7,6","-21,10","25,05","55,38",
"7,8","-21,10","23,74","52,75",
8,"-21,10","23,74","54,07",
"8,2","-21,10","23,74","54,07",
"8,4","-23,74","22,42","51,43",
"8,6","-25,05","21,10","51,43",
"8,8","-26,37","21,10","51,43",
9,"-29,01","19,78","51,43",
"9,2","-29,01","18,46","51,43",
"9,4","-30,33","18,46","51,43",
"9,6","-30,33","17,14","51,43",
"9,8","-30,33","17,14","48,79",
10,"-32,97","17,14","47,47",
"10,2","-36,92","15,82","44,84",
"10,4","-36,92","15,82","43,52",
"10,6","-36,92","14,51","43,52",
"10,8","-36,92","14,51","43,52",
11,"-39,56","14,51","43,52",
"11,2","-39,56","14,51","46,15",
"11,4","-39,56","14,51","43,52",
"11,6","-39,56","11,87","42,20",
"11,8","-39,56","11,87","42,20",
12,"-44,84","11,87","40,88",
"12,2","-43,52","9,23","39,56",
"12,4","-43,52","9,23","39,56",
"12,6","-43,52","7,91","39,56",
"12,8","-43,52","7,91","39,56",
13,"-43,52","7,91","39,56",
"13,2","-43,52","7,91","36,92",
"13,4","-46,15","7,91","36,92",
"13,6","-46,15","6,59","34,29",
"13,8","-47,47","-2,64","34,29",
14,"-48,79","6,59","34,29",
"14,2","-48,79","6,59","34,29",
"14,4","-50,11","6,59","31,65",
"14,6","-50,11","6,59","31,65",
"14,8","-50,11","6,59","31,65",
15,"-50,11","6,59","31,65",
"15,2","-55,38","6,59","31,65",
"15,4","-52,75","6,59","31,65",
"15,6","-52,75","6,59","31,65",
"15,8","-52,75","6,59","31,65",
16,"-52,75","6,59","31,65",
"16,2","-52,75","3,96","23,74",
"16,4","-48,79","3,96","23,74",
"16,6","-48,79","3,96","23,74",
"16,8","-48,79","2,64","23,74",S
17,"-48,79","-1,32","23,74",M
"17,2","-48,79","-1,32","23,74",M
"17,4","-48,79","-1,32","23,74",M
"17,6","-48,79","-1,32","23,74",M
"17,8","-48,79","-1,32","23,74",M
18,"-50,11","-1,32","23,74",M
"18,2","-50,11","-1,32","23,74",M
"18,4","-50,11","-1,32","23,74",M
"18,6","-50,11","-1,32","23,74",M
"18,8","-50,11","-2,64","21,10",M
19,"-50,11","-5,27","21,10",M
"19,2","-51,43","-5,27","21,10",M
"19,4","-52,75","-5,27","21,10",M
"19,6","-54,07","-5,27","21,10",M
"19,8","-55,38","-5,27","17,14",M
20,"-54,07","-5,27","17,14",M
"20,2","-55,38","-5,27","17,14",M
"20,4","-52,75","-5,27","9,23",M
"20,6","-54,07","-5,27","13,19",M
"20,8","-55,38","-5,27","13,19",M
21,"-55,38","-5,27","14,51",M
"21,2","-56,70","-7,91","14,51",M
"21,4","-54,07","-7,91","14,51",M
"21,6","-51,43","-7,91","14,51",M
"21,8","-52,75","-7,91","14,51",M
22,"-54,07","-7,91","18,46",M
"22,2","-55,38","-7,91","18,46",M
"22,4","-55,38","-7,91","18,46",M
"22,6","-55,38","-7,91","18,46",M
"22,8","-58,02","-7,91","18,46",M
23,"-56,70","-7,91","18,46",M
"23,2","-56,70","-7,91","18,46",M
"23,4","-56,70","-7,91","18,46",M
"23,6","-56,70","-7,91","17,14",M
"23,8","-56,70","-7,91","17,14",M
24,"-58,02","-7,91","17,14",M
"24,2","-61,98","-7,91","17,14",M
"24,4","-61,98","-7,91","17,14",M
"24,6","-63,30","-7,91","17,14",M
"24,8","-63,30","-9,23","13,19",M
25,"-63,30","-9,23","13,19",M
"25,2","-61,98","-9,23","13,19",M
"25,4","-63,30","-9,23","13,19",M
"25,6","-67,25","-9,23","13,19",M
"25,8","-68,57","-9,23","13,19",M
26,"-68,57","-9,23","13,19",M
"26,2","-68,57","-9,23","13,19",M
"26,4","-69,89","-9,23","13,19",M
"26,6","-71,21","-9,23","13,19",M
"26,8","-73,85","-9,23","13,19",M
27,"-75,16","-9,23","13,19",M
"27,2","-73,85","-9,23","13,19",M
"27,4","-76,48","-9,23","13,19",M
"27,6","-76,48","-9,23","13,19",M
"27,8","-79,12","-9,23","13,19",M
28,"-77,80","-9,23","13,19",M
"28,2","-83,08","-9,23","13,19",M
"28,4","-83,08","-9,23","13,19",M
"28,6","-83,08","-7,91","13,19",F
"28,8","-83,08","-7,91","13,19",
29,"-83,08","-7,91","13,19",
"29,2","-85,71","-6,59","13,19",
"29,4","-87,03","-2,64","13,19",
"29,6","-89,67","-2,64","12,82",
"29,8","-89,67","-2,64","12,82",
30,"-92,31","-15,82","12,82",
"30,2","-93,63","-11,87","12,82",
"30,4","-96,26","-11,87","12,82",
"30,6","-97,58","-11,87","12,82",
"30,8","-97,58","-13,19","12,82",
31,"-90,99","-17,14","12,82",
"31,2","-90,99","-17,14","12,82",
"31,4","-90,99","-9,23","12,82",
"31,6","-90,99","-9,23","12,82",
"31,8","-90,99","-9,23","12,82",
32,"-90,99","-9,23","12,82",
"32,2","-90,99","-9,23","12,82",
"32,4","-90,99","-9,23","12,82",
"32,6","-90,99","-9,23","12,82",
"32,8","-90,99","-9,23","12,82",
33,"-90,99","-9,23","12,82",
"33,2","-90,99","-7,91","12,82",
"33,4","-90,99","-7,91","12,82",
"33,6","-90,99","-7,91","12,82",
"33,8","-90,99","-7,91","12,82",
34,"-90,99","-7,91","12,82",
"34,2","-90,99","-7,91","12,82",
"34,4","-90,99","-7,91","12,82",
"34,6","-90,99","-7,91","12,82",
"34,8","-90,99","-7,91","12,82",
35,"-90,99","-7,91","12,82",
"35,2","-90,99","-6,59","12,82",
"35,4","-90,99","-6,59","12,82",
"35,6","-90,99","-6,59","12,82",
"35,8","-90,99","-6,59","12,82",
36,"-90,99","-6,59","12,82",
"36,2","-90,99","-6,59","12,82",
"36,4","-90,99","-6,59","12,82",
"36,6","-90,99","-6,59","12,82",
"36,8","-89,67","-6,59","12,82",
37,"-88,35","-6,59","12,82",
"37,2","-88,35","-6,59","12,82",
"37,4","-88,35","-13,19","9,23",
"37,6","-85,71","-18,46","9,23",
"37,8","-79,12","-19,78","9,23",
38,"-81,76","-19,78","9,23",
"38,2","-84,40","-15,82","9,23",
"38,4","-85,71","-14,51","9,23",
"38,6","-87,03","-9,23","9,23",
"38,8","-87,03","-18,46","9,23",
39,"-87,03","-18,46","9,23",
"39,2","-88,35","-18,46","9,23",
"39,4","-88,35","-18,46","9,23",
"39,6","-88,35","-13,19","9,23",
"39,8","-88,35","-13,19","9,23",
40,"-88,35","-13,19","9,23",
"40,2","-88,35","-17,14","9,23",
"40,4","-89,67","-18,46","9,23",
"40,6","-89,67","-18,46","9,23",
"40,8","-89,67","-19,78","9,23",
41,"-89,67","-19,78","9,23",
"41,2","-89,67","-19,78","9,23",
"41,4","-89,67","-19,78","9,23",
"41,6","-88,35","-19,78","9,23",
"41,8","-88,35","-19,78","9,23",
42,"-88,35","-21,10","9,23",
"42,2","-88,35","-21,10","9,23",
"42,4","-88,35","-21,10","9,23",
"42,6","-88,35","-21,10","9,23",
"42,8","-88,35","-27,69","9,23",
43,"-85,71","-27,69","9,23",
"43,2","-85,71","-27,69","9,23",
"43,4","-85,71","-27,69","9,23",
"43,6","-85,71","-27,69","9,23",
"43,8","-85,71","-27,69","9,23",
44,"-85,71","-27,69","9,23",
"44,2","-85,71","-27,69","9,23",
"44,4","-85,71","-27,69","9,23",
"44,6","-85,71","-26,37","9,23",
"44,8","-85,71","-25,05","9,23",
45,"-85,71","-25,05","9,23",
"45,2","-85,71","-26,37","9,23",
"45,4","-85,71","-27,69","9,23",
"45,6","-92,31","-27,69","9,23",
"45,8","-98,90","-27,69","9,23",
46,"-88,35","-32,97","9,23",
"46,2","-96,26","-34,29","9,23",
"46,4","-96,26","-35,60","9,23",
"46,6","-98,90","-38,24","9,23",
"46,8","-100,22","-38,24","9,23",
47,"-105,49","-38,24","9,23",
"47,2","-105,49","-38,24","9,23",
"47,4","-109,45","-38,24","9,23",
"47,6","-109,45","-39,56","9,23",
"47,8","-112,09","-39,56","9,23",
48,"-116,04","-40,88","9,23",
"48,2","-121,32","-43,52","9,23",
"48,4","-125,27","-44,84","9,23",
"48,6","-127,91","-46,15","9,23",
"48,8","-129,23","-46,15","9,23",
49,"-131,87","-48,79","9,23",
"49,2","-131,87","-48,79","9,23",
"49,4","-131,87","-47,47","7,91",
"49,6","-131,87","-48,79","3,96",
"49,8","-137,14","-50,11","-2,64",
50,"-138,46","-51,43","1,32",
"50,2","-139,78","-51,43","1,32",
"50,4","-142,42","-51,43","1,32",
"50,6","-142,42","-54,07","0,00",
"50,8","-145,05","-61,98","-5,27",
51,"-147,69","-61,98","-5,27",
"51,2","-150,33","-61,98","-2,64",
"51,4","-152,97","-61,98","-6,59",
"51,6","-156,92","-61,98","-15,82",
"51,8","-163,52","-63,30","-13,19",
52,"-167,47","-64,62","-13,19",
"52,2","-167,47","-71,21","-9,23",
"52,4","-171,43","-71,21","-9,23",
"52,6","-174,07","-76,48","-13,19",
"52,8","-178,02","-73,85","-14,51",
53,"-185,93","-73,85","-15,82",
"53,2","-187,25","-72,53","-15,82",
"53,4","-187,25","-73,85","-17,14",
"53,6","-187,25","-73,85","-15,82",
"53,8","-204,40","-75,16","-15,82",
54,"-192,53","-80,44","-17,14",
"54,2","-196,48","-85,71","-18,46",
"54,4","-205,71","-85,71","-25,05",
"54,6","-209,67","-88,35","-40,88",
"54,8","-208,35","-96,26","-51,43",
55,"-212,31","-93,63","-54,07",
"55,2","-212,31","-94,95","-58,02",
"55,4","-213,63","-94,95","-59,34",
"55,6","-220,22","-94,95","-60,66",
"55,8","-224,18","-94,95","-65,93",
56,"-224,18","-97,58","-65,93",
"56,2","-225,49","-104,18","-69,89",
"56,4","-229,45","-104,18","-73,85",
"56,6","-232,09","-105,49","-75,16",
"56,8","-234,73","-109,45","-76,48",
57,"-236,04","-109,45","-76,48",
"57,2","-238,68","-110,77","-76,48",
"57,4","-243,96","-112,09","-83,08",
"57,6","-249,23","-118,68","-83,08",
"57,8","-251,87","-122,64","-83,08",
58,"-258,46","-123,96","-84,40",
"58,2","-262,42","-126,59","-84,40",
"58,4","-263,74","-130,55","-90,99",
"58,6","-269,01","-135,82","-90,99",
"58,8","-272,97","-139,78","-90,99",
59,"-279,56","-139,78","-93,63",
"59,2","-288,79","-143,74","-93,63",
"59,4","-290,11","-147,69","-97,58",
"59,6","-296,70","-150,33","-97,58",
"59,8","-298,02","-156,92","-100,22",
60,"-304,62","-158,24","-100,22",
"60,2","-307,25","-156,92","-100,22",
"60,4","-311,21","-159,56","-100,22",
"60,6","-311,21","-170,11","-98,90",
"60,8","-313,85","-170,11","-96,26",
61,"-321,76","-176,70","-94,95",
"61,2","-341,54","-181,98","-97,58",
"61,4","-341,54","-188,57","-98,90",
"61,6","-349,45","-195,16","-104,18",
"61,8","-355,65","-199,12","-104,18",
62,"-361,85","-204,40","-104,18",
"62,2","-368,05","-207,03","-108,13",
"62,4","-374,25","-221,54","-114,73",
"62,6","-380,45","-226,14","-118,68",
"62,8","-386,65","-230,74","-122,64",
63,"-392,85","-235,34","-130,55",
"63,2","-399,05","-239,94","-130,55",
"63,4","-405,25","-244,54","-130,55",
