,Λωρίδα1.1,Λωρίδα1.2,Λωρίδα1.3,STATE
,y,y,y,
,"207,82","259,06","307,48",
0,"201,42","254,76","303,18",
"0,2","188,60","250,46","298,88",
"0,4","184,94","246,16","294,58",
"0,6","183,11","241,86","290,28",
"0,8","179,44","237,56","285,98",
1,"164,80","233,26","281,68",
"1,2","163,88","228,96","277,38",
"1,4","163,88","224,66","273,08",
"1,6","151,06","220,36","268,78",
"1,8","148,32","216,06","264,48",
2,"138,24","216,06","260,18",
"2,2","137,33","215,15","255,88",
"2,4","131,84","206,91","251,58",
"2,6","129,09","192,26","247,28",
"2,8","126,34","192,26","242,98",
3,"118,10","184,94","238,68",
"3,2","97,05","182,19","234,38",
"3,4","94,30","172,12","233,46",
"3,6","92,47","167,54","227,05",
"3,8","92,47","164,80","208,74",
4,"78,74","164,80","208,74",
"4,2","76,90","159,30","206,91",
"4,4","62,26","146,48","194,09",
"4,6","53,10","141,91","194,09",
"4,8","51,27","136,41","187,68",
5,"49,44","119,02","174,87",
"5,2","40,28","117,19","173,95",
"5,4","27,47","119,02","173,95",
"5,6","22,89","110,78","169,37",
"5,8","20,14","105,29","153,81",
6,"18,31","97,96","151,06",
"6,2","4,58","94,30","146,48",
"6,4","2,75","84,23","137,33",
"6,6","-19,23","74,16","128,17",
"6,8","-14,65","74,16","123,60",
7,"-19,23","68,66","122,68",
"7,2","-21,06","55,85","118,10",
"7,4","-28,38","53,10","116,27",
"7,6","-32,96","50,35","104,37",
"7,8","-34,79","39,37","100,71",
8,"-43,03","36,62","97,96",
"8,2","-56,76","36,62","90,64",
"8,4","-57,68","31,13","89,72",
"8,6","-62,26","24,72","76,90",
"8,8","-63,17","14,65","67,75",
9,"-70,50","10,07","66,83",
"9,2","-72,33","5,49","59,51",
"9,4","-75,99","-1,83","54,02",
"9,6","-77,82","-15,56","48,52",
"9,8","-78,74","-16,48","46,69",
10,"-89,72","-24,72","37,54",
"10,2","-90,64","-24,72","25,63",
"10,4","-97,05","-30,21","26,55",
"10,6","-98,88","-34,79","22,89",
"10,8","-116,27","-42,11","17,40",
11,"-116,27","-48,52","14,65",
"11,2","-116,27","-52,19","6,41",
"11,4","-118,10","-56,76","5,49",
"11,6","-118,10","-56,76","-1,83",
"11,8","-118,10","-56,76","-6,41",S
12,"-118,10","-64,09","-8,24",M
"12,2","-120,85","-65,92","-14,65",M
"12,4","-121,77","-65,92","-14,65",M
"12,6","-137,33","-66,83","-15,56",M
"12,8","-137,33","-69,58","-20,14",M
13,"-137,33","-69,58","-24,72",M
"13,2","-138,24","-69,58","-25,63",M
"13,4","-140,99","-69,58","-26,55",M
"13,6","-140,99","-69,58","-26,55",M
"13,8","-140,99","-69,58","-26,55",M
14,"-145,57","-69,58","-32,04",M
"14,2","-145,57","-69,58","-32,04",M
"14,4","-151,98","-69,58","-33,87",M
"14,6","-153,81","-71,41","-34,79",M
"14,8","-155,64","-71,41","-34,79",M
15,"-156,56","-71,41","-34,79",M
"15,2","-159,30","-71,41","-34,79",M
"15,4","-157,47","-71,41","-34,79",M
"15,6","-157,47","-71,41","-34,79",M
"15,8","-157,47","-71,41","-34,79",M
16,"-162,05","-71,41","-34,79",M
"16,2","-166,63","-71,41","-34,79",M
"16,4","-166,63","-71,41","-34,79",M
"16,6","-166,63","-71,41","-34,79",M
"16,8","-162,96","-71,41","-34,79",M
17,"-162,96","-74,16","-34,79",M
"17,2","-162,96","-74,16","-34,79",M
"17,4","-170,29","-74,16","-34,79",M
"17,6","-171,20","-74,16","-34,79",M
"17,8","-172,12","-74,16","-34,79",M
18,"-173,95","-74,16","-34,79",M
"18,2","-173,95","-74,16","-34,79",M
"18,4","-179,44","-74,16","-34,79",M
"18,6","-193,18","-74,16","-35,71",M
"18,8","-196,84","-74,16","-35,71",M
19,"-194,09","-74,16","-35,71",M
"19,2","-208,74","-75,07","-35,71",M
"19,4","-214,23","-75,07","-35,71",M
"19,6","-227,05","-75,07","-35,71",M
"19,8","-227,05","-75,07","-35,71",M
20,"-233,46","-75,07","-35,71",M
"20,2","-234,38","-75,07","-35,71",M
"20,4","-240,78","-75,07","-35,71",M
"20,6","-244,45","-75,07","-35,71",M
"20,8","-248,75","-75,07","-35,71",M
21,"-253,05","-75,07","-35,71",M
"21,2","-257,35","-75,99","-43,03",M
"21,4","-261,65","-77,82","-46,69",F
"21,6","-265,95","-84,23","-49,44",
"21,8","-270,25","-89,72","-50,35",
22,"-274,55","-89,72","-51,27",
"22,2","-278,85","-89,72","-51,27",
"22,4","-283,15","-89,72","-52,19",
"22,6","-287,45","-89,72","-54,02",
"22,8","-291,75","-89,72","-54,02",
23,"-296,05","-97,96","-64,09",
"23,2","-300,35","-97,96","-64,09",
"23,4","-304,65","-101,62","-64,09",
"23,6","-308,95","-106,20","-70,50",
"23,8","-313,25","-110,78","-71,41",
24,"-317,55","-117,19","-75,07",
"24,2","-321,85","-117,19","-75,07",
"24,4","-326,15","-119,02","-75,07",
"24,6","-330,45","-127,26","-82,40",
"24,8","-334,75","-130,92","-84,23",
25,"-339,05","-139,16","-96,13",
"25,2","-343,35","-147,40","-104,37",
"25,4","-347,65","-147,40","-113,53",
"25,6","-351,95","-155,64","-113,53",
"25,8","-356,25","-157,47","-129,09",
26,"-360,55","-160,22","-124,51",
"26,2","-364,85","-171,20","-133,67",
"26,4","-369,15","-179,44","-136,41",
"26,6","-373,45","-182,19","-140,99",
"26,8","-377,75","-206,91","-153,81",
27,"-382,05","-215,15","-155,64",
"27,2","-386,35","-219,73","-183,11",
"27,4","-390,65","-220,64","-185,85",
"27,6","-394,95","-226,14","-196,84",
"27,8","-399,25","-244,45","-197,75",
28,"-403,55","-248,75","-205,99",
"28,2","-407,85","-253,05","-213,32",
"28,4","-412,15","-257,35","-213,32",
"28,6","-416,45","-261,65","-216,98",
"28,8","-420,75","-265,95","-218,81",
29,"-425,05","-270,25","-227,05",
"29,2","-429,35","-274,55","-231,35",
"29,4","-433,65","-278,85","-235,65",
"29,6","-437,95","-283,15","-239,95",
"29,8","-442,25","-287,45","-244,25",
30,"-446,55","-291,75","-248,55",
"30,2","-450,85","-296,05","-252,85",
"30,4","-455,15","-300,35","-257,15",
"30,6","-459,45","-304,65","-261,45",
"30,8","-463,75","-308,95","-265,75",
31,"-468,05","-313,25","-270,05",
"31,2","-472,35","-317,55","-274,35",
"31,4","-476,65","-321,85","-278,65",
"31,6","-480,95","-326,15","-282,95",
"31,8","-485,25","-330,45","-287,25",
32,"-489,55","-334,75","-291,55",